78d824fa,26,Male,No,No,True
42e3ccfa,21,Male,No,No,True
63d76ceb,20,Male,No,Yes,True
f9a57916,26,Male,No,Yes,True
bb25fa4c,23,Male,No,Yes,True
8034b667,22,Male,No,No,True
462f6d13,25,Female,No,Yes,True
48a9b298,23,Male,No,Yes,True
18de0593,21,Female,No,No,True
86b9f945,24,Male,No,No,True
c10176a0,20,Female,No,No,True
9b0c9458,24,Female,No,Yes,True
0a36b366,24,Female,No,Yes,True
37dd76de,24,Female,No,Yes,True
e5fe38db,26,Male,No,Yes,True
c88e8dea,23,Female,No,No,True
0bb12f2a,28,Male,No,No,True
5bac8d0e,28,Male,No,No,True
b0b4f3c9,23,Male,No,No,True
6c3f54a4,23,Male,No,No,True
47ed8587,22,Male,Yes,Yes,True
40754341,22,Male,Yes,Yes,True
cbd32924,<10,Prefer not to say,Yes,Yes,True
fcceea2c,36,Male,No,Yes,True
f8ba384d,21,Male,No,No,True
010495e7,22,Male,No,No,True